anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.5925,0.5925,0.5925,0.5950,0.5950,0.5950,0.6262,0.6262,0.6262,0.7325,0.7325,0.7325
gemini-2.0-flash-lite,0.6013,0.8524,0.8786,0.7066,0.8986,0.9147,0.8533,0.8812,0.9150,0.6353,0.7382,0.7397
gemini-2.0-flash,0.6650,0.8442,0.8715,0.7780,0.8901,0.9038,0.8735,0.8852,0.8928,0.6809,0.7384,0.7533
gpt-4o-mini,0.5830,0.6025,0.5925,0.6271,0.6495,0.5949,0.7011,0.6947,0.6283,0.6065,0.6280,0.7323
gpt-4o,0.6597,0.6818,0.6438,0.7981,0.8430,0.7216,0.8722,0.8919,0.6326,0.7375,0.7325,0.7325
llama32-11B,0.4257,0.4787,0.4934,0.4763,0.5578,0.5774,0.5493,0.4804,0.5651,0.5288,0.4806,0.4876
llama32-90B,0.5232,0.5300,0.6224,0.6450,0.6112,0.7065,0.7475,0.7617,0.6666,0.5133,0.5458,0.5776
Ovis2-8B,0.4864,0.6480,0.6493,0.5319,0.6832,0.6932,0.5693,0.6970,0.7171,0.3701,0.7234,0.7325
Ovis2-34B,0.6069,0.6936,0.7102,0.6619,0.7587,0.7504,0.7393,0.7707,0.7481,0.5877,0.7430,0.7532
Qwen25VL-7B,0.5925,0.5925,0.5925,0.5950,0.5950,0.5979,0.6262,0.6284,0.6331,0.7325,0.7325,0.7325
Qwen25VL-72B,0.5925,0.7394,0.7789,0.6914,0.8373,0.8493,0.7439,0.8440,0.8125,0.7437,0.7035,0.7551
llavaov-7B,0.4558,0.6313,0.6485,0.5889,0.5962,0.5862,0.5875,0.6366,0.6426,0.6977,0.5389,0.5806
llavaov-72B,0.6234,0.6994,0.6762,0.6060,0.7641,0.7806,0.6587,0.7007,0.7698,0.5423,0.4990,0.4939
isolationForest,0.4078,0.4078,0.4078,0.4237,0.4237,0.4237,0.8305,0.8305,0.8305,0.5826,0.5826,0.5826
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
