input_types,text,text,text,text,textvision,textvision,textvision,textvision,vision,vision,vision,vision
selected_metrics,anomaly_precision,anomaly_recall,anomaly_f1,balanced_accuracy_score,anomaly_precision,anomaly_recall,anomaly_f1,balanced_accuracy_score,anomaly_precision,anomaly_recall,anomaly_f1,balanced_accuracy_score
dummy,0.0000,0.0000,0.0000,0.6365,0.0000,0.0000,0.0000,0.6365,0.0000,0.0000,0.0000,0.6365
gemini-2.0-flash-lite,0.2808,0.2673,0.2477,0.6991,0.4120,0.4446,0.4057,0.8426,0.4225,0.4740,0.4288,0.8620
gemini-2.0-flash,0.4153,0.3520,0.3552,0.7493,0.4101,0.4347,0.4049,0.8395,0.3747,0.4712,0.4014,0.8553
gpt-4o-mini,0.1276,0.1921,0.1335,0.6294,0.1307,0.1746,0.1315,0.6437,0.0024,0.0034,0.0024,0.6370
gpt-4o,0.3471,0.2831,0.2933,0.7669,0.3547,0.3201,0.3212,0.7873,0.0820,0.1077,0.0858,0.6826
llama32-11B,0.0767,0.4178,0.1168,0.4950,0.0903,0.3906,0.1342,0.4994,0.0985,0.3279,0.1391,0.5309
llama32-90B,0.1368,0.2884,0.1683,0.6073,0.1976,0.3455,0.2236,0.6122,0.1897,0.3800,0.2314,0.6433
Ovis2-8B,0.0667,0.1628,0.0834,0.4894,0.1558,0.1694,0.1503,0.6879,0.1697,0.1580,0.1502,0.6980
Ovis2-34B,0.1504,0.1576,0.1423,0.6490,0.3073,0.2405,0.2563,0.7415,0.2957,0.2610,0.2588,0.7405
Qwen25VL-7B,0.0000,0.0000,0.0000,0.6365,0.0015,0.0011,0.0012,0.6371,0.0058,0.0051,0.0048,0.6390
Qwen25VL-72B,0.1406,0.1808,0.1431,0.6929,0.2921,0.3800,0.3171,0.7811,0.3084,0.4267,0.3341,0.7990
llavaov-7B,0.0378,0.0765,0.0441,0.5825,0.1398,0.3628,0.1855,0.6008,0.1497,0.3838,0.1971,0.6145
llavaov-72B,0.1135,0.1706,0.1210,0.6076,0.1560,0.3688,0.2006,0.6658,0.1803,0.4116,0.2351,0.6801
isolationForest,0.1388,0.5890,0.1984,0.5612,0.1388,0.5890,0.1984,0.5612,0.1388,0.5890,0.1984,0.5612
perfect,0.7269,0.7269,0.7269,1.0000,0.7269,0.7269,0.7269,1.0000,0.7269,0.7269,0.7269,1.0000
